ID,SMILES
SBSM65560,S(=O)(=O)(NC4(=CC=C(NC=1(C=3(C(N=C2(C=1C=CC=C2))=CC([N+](=O)[O-])=CC=3)))C=C4))CCCNC(=N)N,DNMT1
SBSM119031,S1(C(=O)N(C(C(=O)OCC)C)C(C1=CC=3(OC(C2(=C(C(=O)O)C=CC=C2))=CC=3))=O),DNMT1
SBSM127937,O=C(O)CC=2(C1(=C(O)C=CC=C1NC=2)),DNMT1
SBSM481219,ClC3(=NC(NCCC2(=CC=C(C1(=CC=CC=C1))C=C2))=C4(N=CN(C4(=N3))C5(OC(CSCCC(N)C(=O)O)C(C5O)O))),DNMT1
SBSM18092,S1(C(=NN=C1CC2(=CC=C(OC)C=C2))NC(=O)CC=3(SC=CC=3)),DNMT1
SBSM111269,O=C5(C3(=C(C1(=C(C=CC=2(C1=CC=CC=2))NC3C=4(OC=CC=4)))CCC5)),DNMT1
SBSM118110,O=C(N1(CC(C(=O)OCC)CCC1))C=2(C=4(C(N=C(C=2)C=3(OC=CC=3))=CC=CC=4)),DNMT1
SBSM18225,S4(C=3(N=C2(N(C=C(C(=O)C1(=C(O)C=CC=C1))C=C2SCC(=O)O)C(C=3C(=C4C(=O)OCC)C)=O))),DNMT1
SBSM104510,O=C1(N(C(=O)C(N1)=CC=3(N(C2(=CC(C(=O)O)=CC=C2))C=CC=3))CC(=O)NC4(=C(C=CC=C4)C)),DNMT1
SBSM111966,O=C(NCC(N(C)C)C1(=CC=CC=C1))C=2(C=4(C(N=C(C=2)C=3(OC=CC=3))=CC=CC=4)),DNMT1
SBSM134978,O=C(N(CC(=O)NC1(=CC=C(OC)C=C1))C)C=2(C=4(C(N=C(C=2)C=3(OC=CC=3))=CC=CC=4)),DNMT1
SBSM100085,O=C(N(CC(=O)NCC=1(OC=CC=1))C)COC2(=CC(C(=O)C)=CC=C2),DNMT1
SBSM19555,[Br]C2(=CC=C(S(=O)(=O)CCC(=O)NC1(=C(C(=O)OC)C=CC=C1))C=C2),DNMT1
SBSM217499,O=C1(N(C(=O)C(N1)=CC=3(N(C2(=CC(C(=O)O)=CC=C2))C=CC=3))CC(=O)NC4(=CC=C(C)C=C4)),DNMT1
SBSM483549,S(CC3(OC(N2(C1(=NC(=NC(=C1N=C2)N)C)))C(C3O)O))CCC(N)C(=O)O,DNMT1
SBSM103569,O=C(NC3(=CC(C1(=NOC2(C1)(CN(C(=O)C=CCC)C(C2)C(=O)N)))=CC=C3))C(=C)C,DNMT1
SBSM137388,O=C4(C(C3(C(C2(=C(C1(C(C(C(CCC=C(C(=O)O)C)C)CC1)(C)CC2)(C))CC3))(C)CC4))(C)C),DNMT1
