Data set,Method,Fingerprint,Confidence level (%),Recovery Rate,Area Under ROC Curve
BRD2,SB-DFP,ECFP4,99.9999,0.651785714286,0.951992375
BRD2,SB-DFP,ECFP4,99.9999,0.558035714286,0.8664205
BRD2,SB-DFP,ECFP4,99.9999,0.696428571429,0.978478955357143
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.898708729910714
BRD2,SB-DFP,ECFP4,99.9999,0.558035714286,0.914522274553571
BRD2,SB-DFP,ECFP4,99.9999,0.598214285714,0.972089881696429
BRD2,SB-DFP,ECFP4,99.9999,0.571428571429,0.960387868303572
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.906909441964286
BRD2,SB-DFP,ECFP4,99.9999,0.665178571429,0.93339203125
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.866007830357143
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.96048615625
BRD2,SB-DFP,ECFP4,99.9999,0.566964285714,0.960212419642857
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.950698497767857
BRD2,SB-DFP,ECFP4,99.9999,0.566964285714,0.965611399553571
BRD2,SB-DFP,ECFP4,99.9999,0.571428571429,0.977073888392857
BRD2,SB-DFP,ECFP4,99.9999,0.785714285714,0.905579328125
BRD2,SB-DFP,ECFP4,99.9999,0.575892857143,0.974692448660714
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.898860553571429
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.867416359375
BRD2,SB-DFP,ECFP4,99.9999,0.669642857143,0.960566607142857
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.899438689732143
BRD2,SB-DFP,ECFP4,99.9999,0.553571428571,0.847029165178571
BRD2,SB-DFP,ECFP4,99.9999,0.71875,0.960773133928571
BRD2,SB-DFP,ECFP4,99.9999,0.669642857143,0.894290957589286
BRD2,SB-DFP,ECFP4,99.9999,0.620535714286,0.984696069196429
BRD2,SB-DFP,ECFP4,99.9999,0.803571428571,0.968190799107143
BRD2,SB-DFP,ECFP4,99.9999,0.611607142857,0.948955116071429
BRD2,SB-DFP,ECFP4,99.9999,0.629464285714,0.986345877232143
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.912291765625
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.866871645089286
BRD2,SB-DFP,ECFP4,99.9999,0.589285714286,0.935857899553572
BRD2,SB-DFP,ECFP4,99.9999,0.589285714286,0.958597113839286
BRD2,SB-DFP,ECFP4,99.9999,0.607142857143,0.839714979910714
BRD2,SB-DFP,ECFP4,99.9999,0.535714285714,0.966519877232143
BRD2,SB-DFP,ECFP4,99.9999,0.566964285714,0.956799042410714
BRD2,SB-DFP,ECFP4,99.9999,0.616071428571,0.952580185267857
BRD2,SB-DFP,ECFP4,99.9999,0.674107142857,0.961058691964286
BRD2,SB-DFP,ECFP4,99.9999,0.566964285714,0.961497325892857
BRD2,SB-DFP,ECFP4,99.9999,0.558035714286,0.914150361607143
BRD2,SB-DFP,ECFP4,99.9999,0.59375,0.941790430803572
BRD2,SB-DFP,ECFP4,99.9999,0.754464285714,0.99131778125
BRD2,SB-DFP,ECFP4,99.9999,0.665178571429,0.977043102678572
BRD2,SB-DFP,ECFP4,99.9999,0.776785714286,0.960313189732143
BRD2,SB-DFP,ECFP4,99.9999,0.84375,0.968567337053572
BRD2,SB-DFP,ECFP4,99.9999,0.691964285714,0.993820551339286
BRD2,SB-DFP,ECFP4,99.9999,0.660714285714,0.897616301339286
BRD2,SB-DFP,ECFP4,99.9999,0.59375,0.903109504464286
BRD2,SB-DFP,ECFP4,99.9999,0.642857142857,0.895303341517857
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.945580426339286
BRD2,SB-DFP,ECFP4,99.9999,0.629464285714,0.934885379464286
BRD2,SB-DFP,ECFP4,99.9999,0.602678571429,0.95766434375
BRD2,SB-DFP,ECFP4,99.9999,0.616071428571,0.988548002232143
BRD2,SB-DFP,ECFP4,99.9999,0.723214285714,0.994478495535714
BRD2,SB-DFP,ECFP4,99.9999,0.558035714286,0.888714352678571
BRD2,SB-DFP,ECFP4,99.9999,0.544642857143,0.940646859375
BRD2,SB-DFP,ECFP4,99.9999,0.598214285714,0.911793598214286
BRD2,SB-DFP,ECFP4,99.9999,0.691964285714,0.917958145089285
BRD2,SB-DFP,ECFP4,99.9999,0.558035714286,0.903604095982143
BRD2,SB-DFP,ECFP4,99.9999,0.558035714286,0.885862917410714
BRD2,SB-DFP,ECFP4,99.9999,0.616071428571,0.877380256696429
BRD2,SB-DFP,ECFP4,99.9999,0.566964285714,0.964111979910714
BRD2,SB-DFP,ECFP4,99.9999,0.620535714286,0.871961857142857
BRD2,SB-DFP,ECFP4,99.9999,0.674107142857,0.927309723214286
BRD2,SB-DFP,ECFP4,99.9999,0.714285714286,0.950381379464286
BRD2,SB-DFP,ECFP4,99.9999,0.65625,0.988000591517857
BRD2,SB-DFP,ECFP4,99.9999,0.558035714286,0.904585689732143
BRD2,SB-DFP,ECFP4,99.9999,0.763392857143,0.90634684375
BRD2,SB-DFP,ECFP4,99.9999,0.647321428571,0.992143401785714
BRD2,SB-DFP,ECFP4,99.9999,0.566964285714,0.934112238839286
BRD2,SB-DFP,ECFP4,99.9999,0.549107142857,0.948665270089286
